timepointyears,geographicaream49,toi_aff
2011,440,3.4695
2012,440,3.9803
2013,440,4.4696
2014,440,4.9015
2015,440,5.2958
2016,440,4.9653
2017,440,5.0544
2018,440,5.5571
1995,584,1.2446
1996,584,1.6162
1997,584,0.8145
1998,584,0.9686
1999,584,0.7208
2000,584,0.4935
2001,584,0.3559
2002,584,0.5018
2003,584,0.2976
2004,584,0.1738
2005,584,0.2639
2006,584,0.072
2007,584,0.1538
2008,584,0.0672
2009,584,0.1081
2010,584,0.2754
2011,584,0.5744
2012,584,0.442
2013,584,0.3787
2014,584,0.3152
2015,584,0.282
2016,584,0.1677
2017,584,0.0952
2018,584,0.0962
1970,450,0.2655
1971,450,0.2341
1972,450,0.227
1973,450,0.2212
1974,450,0.1682
1975,450,0.1865
1976,450,0.1851
1977,450,0.1669
1978,450,0.1905
1979,450,0.1852
1980,450,0.146
1981,450,0.1605
1982,450,0.1803
1983,450,0.1632
1984,450,0.1459
1985,450,0.1215
1986,450,0.1219
1987,450,0.1472
1988,450,0.1118
1989,450,0.1728
1990,450,0.1534
1991,450,0.1189
1992,450,0.1146
1993,450,0.1256
1994,450,0.1296
1995,450,0.1235
1996,450,0.0884
1997,450,0.0809
1998,450,0.0779
1999,450,0.0687
2000,450,0.0964
2001,450,0.087
2002,450,0.0555
2003,450,0.1054
2004,450,0.109
2005,450,0.1228
2006,450,0.1152
2007,450,0.1317
2008,450,0.1189
2009,450,0.1109
2010,450,0.108
2011,450,0.131
2012,450,0.1209
2013,450,0.1972
2014,450,0.1801
2015,450,0.1871
2016,450,0.1969
2017,450,0.2538
2018,450,0.1858
1995,48,10.146
1996,48,17.1813
1997,48,14.1548
1998,48,8.2556
1999,48,6.8363
2000,48,14.0348
2001,48,13.7096
2002,48,15.2205
2003,48,15.7082
2004,48,18.3981
2005,48,22.7955
2006,48,25.1412
2007,48,19.1784
2008,48,30.4287
2009,48,23.6591
2010,48,26.9869
2011,48,21.0294
2012,48,30.2151
2013,48,22.5966
2014,48,16.2012
2015,48,16.5616
2016,48,16.7588
2017,48,16.5881
2018,48,16.6668
1970,454,0.5226
1971,454,0.4176
1972,454,0.5342
1973,454,0.6052
1974,454,0.4537
1975,454,0.4388
1976,454,0.4182
1977,454,0.4123
1978,454,0.3428
1979,454,0.4078
1980,454,0.5761
1981,454,0.6167
1982,454,0.4517
1983,454,0.7183
1984,454,0.6843
1985,454,0.6224
1986,454,0.7041
1987,454,0.5661
1988,454,0.5851
1989,454,0.4593
1990,454,0.5265
1991,454,0.4855
1992,454,0.7748
1993,454,0.5718
1994,454,0.7935
1995,454,0.6389
1996,454,0.4682
1997,454,0.4935
1998,454,0.5637
1999,454,0.3215
2000,454,0.2818
2001,454,0.44
2002,454,0.5358
2003,454,0.581
2004,454,0.4372
2005,454,0.4804
2006,454,0.5024
2007,454,1.0344
2008,454,0.5103
2009,454,0.5992
2010,454,0.5118
2011,454,1.0294
2012,454,0.6074
2013,454,0.5813
2014,454,0.4737
2015,454,0.5069
2016,454,0.5388
2017,454,0.4335
2018,454,0.4975
1970,458,0.3484
1971,458,0.2795
1972,458,0.2789
1973,458,0.278
1974,458,0.2699
1975,458,0.2834
1976,458,0.2799
1977,458,0.2972
1978,458,0.3087
1979,458,0.323
1980,458,0.343
1981,458,0.3484
1982,458,0.3571
1983,458,0.3878
1984,458,0.3991
1985,458,0.4132
1986,458,0.4503
1987,458,0.4278
1988,458,0.4295
1989,458,0.4589
1990,458,0.4925
1991,458,0.4951
1992,458,0.466
