Identifier,Code,Start_Year,End_Year,Public,Type,Name_En,Name_Fr,Name_Es,Name_Ar,Name_Zh,Name_Ru,ShortName_En,ShortName_Fr,ShortName_Es,ShortName_Ar,ShortName_Zh,ShortName_Ru,Definition,ScopeNote,HistoryNote,EditorialNote,SubSet
975,BGN,1999,,,,Bulgarian Lev,Lev,Lev,,,,Bulgarian Lev,Lev,Lev,,,,,,,Start Date removed in SWS,
976,CDF,1999,,,,Congolese Franc,Franc congolais,Franco congolés,,,,Congolese Franc,Franc congolais,Franco congolés,,,,,,,Start Date removed in SWS,
977,BAM,,,,,Convertible Mark,Mark convertible,Marco,,,,Convertible Mark,Mark convertible,Marco,,,,,,,,
978,EUR,1999,,,,Euro,Euro,Euro,,,,Euro,Euro,Euro,,,,,,,Start Date removed in SWS,
980,UAH,1996,,,,Hryvnia,Hryvnia,Jrivnia,,,,Hryvnia,Hryvnia,Jrivnia,,,,,,,Start Date removed in SWS,
981,GEL,,,,,Lari,Lari,Lari,,,,Lari,Lari,Lari,,,,,,,,
984,BOV,,,,,Mvdol,Mvdol,Mvdol,,,,Mvdol,Mvdol,Mvdol,,,,,,,,
985,PLN,1995,,,,Zloty,Zloty,Zloty,,,,Zloty,Zloty,Zloty,,,,,,,Start Date removed in SWS,
986,BRL,1995,,,,Brazilian Real,Real,Real,,,,Brazilian Real,Real,Real,,,,,,,Start Date removed in SWS,
994,XSU,,,,,Sucre,Sucre,Sucre,,,,Sucre,Sucre,Sucre,,,,,,,,
1031,SUR,1961,1991,,,Ruble,Ruble,Ruble,,,,Ruble,Ruble,Ruble,,,,,,,,
